Institution,Subinstitution,InstitutionType,År,Afbrudte,Fuldførte,Latitude,Longitude
Erhvervsakademier,Erhvervsakademi SydVest,"Erhvervsakademi SydVest, Esbjerg",2021,193.0,320.0,,
Erhvervsakademier,Erhvervsakademi SydVest,"Erhvervsakademi SydVest, Esbjerg",2022,148.0,347.0,,
Erhvervsakademier,Erhvervsakademi SydVest,"Erhvervsakademi SydVest, Esbjerg",2023,237.0,346.0,,
Erhvervsakademier,Erhvervsakademi SydVest,"Erhvervsakademi SydVest, Esbjerg",2024,,267.0,,
Erhvervsakademier,Erhvervsakademi SydVest,"Erhvervsakademi SydVest, Esbjerg (e-læring)",2015,168.0,,,
Erhvervsakademier,Erhvervsakademi SydVest,"Erhvervsakademi SydVest, Esbjerg (e-læring)",2016,136.0,,,
Erhvervsakademier,Erhvervsakademi SydVest,"Erhvervsakademi SydVest, Esbjerg (e-læring)",2017,142.0,,,
Erhvervsakademier,Erhvervsakademi SydVest,"Erhvervsakademi SydVest, Esbjerg (e-læring)",2018,114.0,,,
Erhvervsakademier,Erhvervsakademi SydVest,"Erhvervsakademi SydVest, Esbjerg (e-læring)",2019,117.0,,,
Erhvervsakademier,Erhvervsakademi SydVest,"Erhvervsakademi SydVest, Esbjerg (e-læring)",2020,131.0,,,
Erhvervsakademier,Erhvervsakademi SydVest,"Erhvervsakademi SydVest, Esbjerg (e-læring)",2021,143.0,,,
